0               10              20              30              40              50
1697            1666            1659            1656            1654            1653
1704            1664            1657            1654            1653            1652
7000            7010            7020            7030            7040            7050
7000            7010            7020            7030            7040            7050
1.96            2.52            2.52            2.42            2.3             2.18
1.84            2.64            2.66            2.56            2.4             2.28
1.44415e-07     2.62251e-07     5.34413e-07     8.42831e-07     1.1619e-06      1.48606e-06
0.00353668      0.00528372      0.0104064       0.0165363       0.0229338       0.0294443
1718            1717            1718            1716            1717            1715
1715            1713            1712            1713            1711            1709
7000            7010            7020            7030            7040            7050
7000            7010            7020            7030            7040            7050
1.74            1.74            1.72            1.74            1.72            1.74
1.78            1.8             1.8             1.78            1.8             1.82
1.13114e-11     1.14381e-11     1.15635e-11     1.17102e-11     1.18562e-11     1.20239e-11
0.00490566      0.00492206      0.00494142      0.00496369      0.00498629      0.00501268
